tip_name,dist_to_'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',dist_to_'A/H3N2|A/HongKong/4801/2014|HongKong|2014',dist_to_'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',dist_to_'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',clade_label,min_dist,clade_label_iso_name
'H3N2|A/Victoria/87/2012|70412|70412-HA|H3|VIC|2012-07-16',0.036442,0.024708,0.024692000000000006,0.006777,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.006777,A/SouthAustralia/30/2012
'H3N2|A/Victoria/538/2015|70657|70657-HA|H3|VIC/Bentleigh|2015-07-09',0.013582,0.008008000000000001,0.020378,0.028413,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008008000000000001,A/HongKong/4801/2014
'H3N2|A/Victoria/56/2015|70789|70789-HA|H3|VIC/Ashburton|2015-08-24',0.011120999999999999,0.008025000000000001,0.020395,0.028430000000000004,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008025000000000001,A/HongKong/4801/2014
'H3N2|A/Victoria/853/2015|70678|70678-HA|H3|VIC/StHelena|2015-08-07',0.016056,0.008014,0.020384000000000003,0.028419,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008014,A/HongKong/4801/2014
'H3N2|A/Victoria/146/2016|70964|70964-HA|H3|VIC/Prahran|2016-10-06',0.017309,0.009267000000000001,0.021637000000000003,0.029672000000000004,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009267000000000001,A/HongKong/4801/2014
'H3N2|A/Victoria/48/2015|70723|70723-HA|H3|VIC/Doncaster|2015-08-10',0.017293000000000003,0.009250999999999999,0.021621000000000005,0.029656000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009250999999999999,A/HongKong/4801/2014
'H3N2|A/Victoria/1012/2016|70914|70914-HA|H3|VIC/Burwood|2016-09-16',0.007413,0.010495000000000003,0.022865000000000003,0.03089999999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007413,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/657/2016|70940|70940-HA|H3|VIC|2016-01-01',0.009878,0.012960000000000003,0.02533,0.03336499999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.009878,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/723/2012|70431|70431-HA|H3|VIC/Berwick|2012-08-08',0.02347200000000001,0.011738000000000002,0.011722000000000003,0.016065,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.011722000000000003,A/SouthAustralia/55/2014
'H3N2|A/Victoria/535/2012|70404|70404-HA|H3|VIC/Melbourne|2012-06-18',0.029033000000000003,0.017299000000000002,0.017283000000000003,0.016682,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.016682,A/SouthAustralia/30/2012
'H3N2|A/SouthAustralia/8/2013|70462|70462-HA|H3|SA/Sydney|2013-03-06',0.022260000000000002,0.010526,0.014204000000000001,0.022239000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.010526,A/HongKong/4801/2014
'H3N2|A/Newcastle/1003/2015|70749|70749-HA|H3|NSW/Toukley|2015-07-14',0.009886,0.006790000000000003,0.019160000000000003,0.027195000000000004,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006790000000000003,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/108/2012|70408|70408-HA|H3|SA|2012-07-05',0.02532000000000001,0.013586,0.013570000000000002,0.017913,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.013570000000000002,A/SouthAustralia/55/2014
'H3N2|A/Perth/118/2015|70726|70726-HA|H3|WA/Sorrento|2015-07-22',0.010498,0.007402000000000002,0.019772,0.027807000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007402000000000002,A/HongKong/4801/2014
'H3N2|A/Canberra/11/2016|70858|70858-HA|H3|ACT/Canberra|2016-07-20',0.015502000000000002,0.009932,0.022302000000000002,0.030337000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009932,A/HongKong/4801/2014
'H3N2|A/Victoria/55/2015|70772|70772-HA|H3|VIC/Woodend|2015-08-24',0.014206000000000002,0.006163999999999999,0.018534000000000002,0.026569000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006163999999999999,A/HongKong/4801/2014
'H3N2|A/Sydney/1022/2015|70748|70748-HA|H3|NSW/Auburn|2015-08-20',0.009877,0.0067810000000000014,0.019151,0.027186000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.0067810000000000014,A/HongKong/4801/2014
'H3N2|A/Victoria/3/2012|70391|70391-HA|H3|VIC/Newport|2012-05-07',0.02409800000000001,0.012364,0.012348000000000001,0.016695,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.012348000000000001,A/SouthAustralia/55/2014
'H3N2|A/Perth/247/2013|70477|70477-HA|H3|WA/Gosnells|2013-10-07',0.020396,0.008662,0.013572,0.021607,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008662,A/HongKong/4801/2014
'H3N2|A/Victoria/528/2015|70654|70654-HA|H3|VIC/Rowville|2015-07-01',0.013592000000000002,0.005549999999999999,0.017920000000000005,0.025955000000000006,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.005549999999999999,A/HongKong/4801/2014
'H3N2|A/Sydney/1065/2016|70898|70898-HA|H3|NSW/Bronte|2016-08-15',0.00927,0.014814,0.027184000000000003,0.035219,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.00927,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/1001/2015|70695|70695-HA|H3|VIC/Frankston|2015-07-02',0.028434,0.0167,0.012994000000000002,0.024719000000000005,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.012994000000000002,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/287/2016|70944|70944-HA|H3|QLD/HerveyBay|2016-10-24',0.008026,0.011108000000000003,0.023478000000000006,0.03151299999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.008026,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Sydney/140/2016|70856|70856-HA|H3|NSW/Kelso|2016-07-10',0.007413,0.010495000000000003,0.022865000000000003,0.03089999999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007413,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/50/2015|70781|70781-HA|H3|VIC/Hawthorn|2015-08-18',0.011122,0.008026000000000002,0.020396,0.028431000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008026000000000002,A/HongKong/4801/2014
'H3N2|A/Victoria/640/2015|70765|70765-HA|H3|VIC/Berwick|2015-09-24',0.017911000000000003,0.009869,0.022239000000000002,0.030274000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009869,A/HongKong/4801/2014
'H3N2|A/Brisbane/1/2013|70459|70459-HA|H3|QLD/Brisbane|2013-01-03',0.019771000000000004,0.008036999999999999,0.011715000000000001,0.01975,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008036999999999999,A/HongKong/4801/2014
'H3N2|A/Brisbane/128/2015|70664|70664-HA|H3|QLD/GoldCoast|2015-06-16',0.014801000000000002,0.009231,0.021601000000000002,0.029636000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009231,A/HongKong/4801/2014
'H3N2|A/Tasmania/21/2016|70868|70868-HA|H3|TAS/Somerset|2016-08-12',0.034568,0.022834,0.01047,0.030853000000000005,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.01047,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/1009/2016|70896|70896-HA|H3|QLD/Toowoomba|2016-08-10',0.007419,0.010501000000000003,0.022871000000000006,0.03090599999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007419,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Brisbane/262/2014|70529|70529-HA|H3|QLD/Nambour|2014-08-01',0.026549000000000003,0.014815000000000002,0.011109,0.022834,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.011109,A/SouthAustralia/55/2014
'H3N2|A/Victoria/861/2015|70674|70674-HA|H3|VIC/Wantirna|2015-08-10',0.030283000000000004,0.018549000000000003,0.014843000000000002,0.026568,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.014843000000000002,A/SouthAustralia/55/2014
'H3N2|A/SouthAustralia/1017/2015|70734|70734-HA|H3|SA/MorphettVale|2015-08-17',0.013595,0.0055530000000000015,0.017923000000000005,0.025958000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.0055530000000000015,A/HongKong/4801/2014
'H3N2|A/Perth/22/2016|70859|70859-HA|H3|WA/Dalkeith|2016-04-15',0.031505000000000005,0.019771,0.007407,0.027790000000000002,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.007407,A/SouthAustralia/55/2014
'H3N2|A/Newcastle/22/2014|70503|70503-HA|H3|NSW/Maitland|2014-06-16',0.027190000000000002,0.015456000000000001,0.011750000000000002,0.023475000000000003,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.011750000000000002,A/SouthAustralia/55/2014
'H3N2|A/Tasmania/1014/2015|70709|70709-HA|H3|TAS/RoseBay|2015-08-20',0.029034000000000004,0.0173,0.013594000000000002,0.025319,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.013594000000000002,A/SouthAustralia/55/2014
'H3N2|A/Victoria/3079/2015|70737|70737-HA|H3|VIC/DoncasterEast|2015-09-10',0.015437,0.007395000000000001,0.019765000000000005,0.027800000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007395000000000001,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/60/2015|70599|70599-HA|H3|SA/Elizabeth|2015-05-03',0.014811,0.004309,0.016679000000000003,0.024714,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.004309,A/HongKong/4801/2014
'H3N2|A/Darwin/1001/2012|70416|70416-HA|H3|NT/Katherine|2012-07-16',0.024086000000000003,0.012352,0.012336000000000001,0.016675000000000002,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.012336000000000001,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/43/2015|70585|70585-HA|H3|QLD/Brisbane|2015-03-21',0.017895,0.009853,0.022223000000000003,0.030258,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009853,A/HongKong/4801/2014
'H3N2|A/Brisbane/1005/2015|70691|70691-HA|H3|QLD/SumnerPark|2015-08-10',0.015437,0.007395000000000001,0.019765000000000005,0.027800000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007395000000000001,A/HongKong/4801/2014
'H3N2|A/Brisbane/188/2015|70802|70802-HA|H3|QLD/Brisbane|2015-10-14',0.013581000000000001,0.0055390000000000005,0.017909,0.025944000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.0055390000000000005,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/66/2012|70403|70403-HA|H3|SA|2012-06-24',0.024705,0.012971,0.012955000000000003,0.016058,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.012955000000000003,A/SouthAustralia/55/2014
'H3N2|A/SouthAustralia/79/2013|70472|70472-HA|H3|SA/Elizabeth|2013-09-23',0.02346,0.011726,0.008020000000000001,0.019745000000000002,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.008020000000000001,A/SouthAustralia/55/2014
'H3N2|A/Sydney/115/2016|70855|70855-HA|H3|NSW/Penrith|2016-07-01',0.006791999999999999,0.009874000000000003,0.022244000000000003,0.030278999999999993,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006791999999999999,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/63/2016|70884|70884-HA|H3|VIC/Winchelsea|2016-08-08',0.008643,0.011725000000000003,0.024095000000000005,0.03212999999999999,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.008643,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Newcastle/64/2016|70841|70841-HA|H3|NSW/KundleKundle|2016-07-07',0.007406000000000001,0.012950000000000001,0.025320000000000002,0.033354999999999996,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007406000000000001,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/542/2016|70852|70852-HA|H3|VIC/Rowville|2016-08-01',0.006175000000000001,0.011719000000000002,0.024089000000000003,0.032124,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006175000000000001,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Brisbane/324/2016|70972|70972-HA|H3|QLD/Redlands|2016-12-31',0.017932,0.00989,0.022260000000000002,0.030295000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.00989,A/HongKong/4801/2014
'H3N2|A/Tasmania/7/2012|70398|70398-HA|H3|TAS/Hobart|2012-06-19',0.020382,0.008648,0.007408000000000001,0.016667,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.007408000000000001,A/SouthAustralia/55/2014
'H3N2|A/Sydney/1059/2016|70897|70897-HA|H3|NSW/Shellharbour|2016-08-16',0.008021,0.011099,0.023469000000000004,0.031504000000000004,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.008021,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/5062/2014|70540|70540-HA|H3|VIC/Sunshine|2014-09-23',0.011725000000000001,0.006147,0.018517000000000002,0.026552000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006147,A/HongKong/4801/2014
'H3N2|A/Canberra/82/2014|70522|70522-HA|H3|ACT/Canberra|2014-07-31',0.011744000000000001,0.003702,0.016072,0.024107000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.003702,A/HongKong/4801/2014
'H3N2|A/Victoria/5/2015|70637|70637-HA|H3|VIC/Warrnambool|2015-04-29',0.013587000000000002,0.005545,0.017915000000000004,0.02595,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.005545,A/HongKong/4801/2014
'H3N2|A/Newcastle/1002/2015|70660|70660-HA|H3|NSW/Chinderah|2015-07-01',0.013578000000000002,0.008008000000000001,0.020378000000000004,0.028413,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008008000000000001,A/HongKong/4801/2014
'H3N2|A/Sydney/1028/2015|70692|70692-HA|H3|NSW/Yagoona|2015-08-09',0.015433,0.007391000000000001,0.019761000000000004,0.027796,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007391000000000001,A/HongKong/4801/2014
'H3N2|A/Perth/78/2016|70888|70888-HA|H3|WA/Cannington|2016-07-24',0.008024,0.013572,0.025942000000000003,0.033977,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.008024,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Perth/526/2014|70498|70498-HA|H3|WA/Perth|2014-03-17',0.01235,0.001848,0.014218000000000001,0.022253000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.001848,A/HongKong/4801/2014
'H3N2|A/Townsville/1003/2016|70941|70941-HA|H3|QLD/Inkerman|2016-10-13',0.032729,0.020995,0.008631000000000002,0.029014000000000005,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.008631000000000002,A/SouthAustralia/55/2014
'H3N2|A/Tasmania/213/2016|70966|70966-HA|H3|TAS/Franklin|2016-11-13',0.007412,0.015412,0.027782,0.035817,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007412,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Tasmania/3/2016|70811|70811-HA|H3|Oceania/Australia|2016-02-11',0.006795,0.009877000000000004,0.022247000000000006,0.030281999999999996,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006795,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/852/2015|70677|70677-HA|H3|VIC/DoncasterEast|2015-08-11',0.014198,0.008624,0.020994000000000002,0.029029000000000006,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008624,A/HongKong/4801/2014
'H3N2|A/Brisbane/16/2013|70460|70460-HA|H3|QLD/Brisbane|2013-02-13',0.049012,0.037278000000000006,0.037262,0.024319,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.024319,A/SouthAustralia/30/2012
'H3N2|A/Sydney/84/2014|70512|70512-HA|H3|NSW/LURNEA|2014-05-22',0.0284,0.016666,0.004306000000000001,0.024685000000000006,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.004306000000000001,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/82/2015|70603|70603-HA|H3|QLD/Brisbane|2015-04-22',0.016669000000000003,0.008627000000000001,0.020997000000000002,0.029031999999999995,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008627000000000001,A/HongKong/4801/2014
'H3N2|A/Brisbane/30/2016|70812|70812-HA|H3|QLD/SunshineCoast|2016-01-27',0.011111,0.008011,0.020381000000000003,0.028416000000000004,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008011,A/HongKong/4801/2014
'H3N2|A/Victoria/528/2013|70469|70469-HA|H3|VIC/Berwick|2013-07-19',0.019151000000000005,0.007417,0.012331000000000002,0.020366000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007417,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/125/2016|70923|70923-HA|H3|SA/NorlungaCentre|2016-09-18',0.007406,0.010488000000000003,0.022858000000000003,0.030892999999999997,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007406,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Victoria/1014/2015|70776|70776-HA|H3|VIC/Burwood|2015-09-30',0.029041000000000004,0.017307,0.013601,0.025326,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.013601,A/SouthAustralia/55/2014
'H3N2|A/Sydney/1092/2016|70906|70906-HA|H3|NSW/Rockdale|2016-09-02',0.006789999999999999,0.01479,0.027160000000000007,0.035195000000000004,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006789999999999999,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/SouthAustralia/24/2014|70501|70501-HA|H3|SA/Paralowie|2014-06-08',0.025947000000000005,0.014213,0.0006170000000000001,0.022232000000000002,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.0006170000000000001,A/SouthAustralia/55/2014
'H3N2|A/Victoria/3070/2015|70720|70720-HA|H3|VIC/Wantirna|2015-09-07',0.014213,0.006171000000000002,0.018541000000000005,0.026576000000000002,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006171000000000002,A/HongKong/4801/2014
'H3N2|A/Victoria/806/2014|70492|70492-HA|H3|VIC/Bundoora|2014-04-28',0.027171,0.015437,0.0030770000000000003,0.023456000000000005,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.0030770000000000003,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/122/2016|70845|70845-HA|H3|QLD/Brisbane|2016-06-09',0.01358,0.01048,0.022850000000000002,0.030885000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.01048,A/HongKong/4801/2014
'H3N2|A/Victoria/1012/2014|70531|70531-HA|H3|VIC/HeidlebergHeights|2014-09-12',0.032246000000000004,0.020512,0.016806,0.028531,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.016806,A/SouthAustralia/55/2014
'H3N2|A/Brisbane/172/2015|70761|70761-HA|H3|NSW/Nambour|2015-09-03',0.016063,0.008021000000000002,0.020391000000000006,0.028426,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008021000000000002,A/HongKong/4801/2014
'H3N2|A/Victoria/50/2012|70405|70405-HA|H3|VIC|2012-06-25',0.029038,0.017304,0.017288000000000005,0.016687,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.016687,A/SouthAustralia/30/2012
'H3N2|A/Sydney/171/2016|70850|70850-HA|H3|NSW/Lidcombe|2016-07-29',0.00618,0.009262000000000003,0.021632000000000005,0.029666999999999992,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.00618,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Newcastle/14/2015|70648|70648-HA|H3|NSW/Singleton|2015-06-21',0.013587000000000002,0.0055450000000000004,0.017915,0.02595,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.0055450000000000004,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/111/2012|70410|70410-HA|H3|SA|2012-07-06',0.042133000000000004,0.030399000000000002,0.030383000000000007,0.01744,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.01744,A/SouthAustralia/30/2012
'H3N2|A/Victoria/3100/2015|70766|70766-HA|H3|VIC/Barooga|2015-09-15',0.016059,0.008017000000000002,0.020387000000000006,0.028422000000000003,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008017000000000002,A/HongKong/4801/2014
'H3N2|A/Sydney/129/2016|70839|70839-HA|H3|NSW/GlenmorePark|2016-06-30',0.004325000000000001,0.011101000000000001,0.023471000000000002,0.031506,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.004325000000000001,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/Brisbane/285/2016|70943|70943-HA|H3|QLD/Caloundra|2016-10-20',0.007419,0.014195000000000003,0.026565000000000005,0.0346,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.007419,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/SouthAustralia/34/2016|70830|70830-HA|H3|SA/NorthAdelaide|2016-06-24',0.014196,0.011096000000000002,0.023466000000000004,0.031501,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.011096000000000002,A/HongKong/4801/2014
'H3N2|A/Newcastle/1000/2016|70823|70823-HA|H3|NSW/FingalHead|2016-05-18',0.006795000000000001,0.012339000000000003,0.024709,0.032743999999999995,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006795000000000001,A/Singapore/INFIMH-16-0019/2016
'H3N2|A/SouthAustralia/31/2016|70821|70821-HA|H3|SA/Wallaroo|2016-06-10',0.017916,0.009874,0.022244000000000003,0.030279,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.009874,A/HongKong/4801/2014
'H3N2|A/Newcastle/91/2016|70883|70883-HA|H3|NSW/Adamstown|2016-08-04',0.006794,0.009876000000000003,0.022246000000000005,0.030280999999999995,'A/H3N2|A/Singapore/INFIMH-16-0019/2016|Singapore|2016-06-14',0.006794,A/Singapore/INFIMH-16-0019/2016
'A/H3N2|A/Switzerland/9715293/2013|Switzerland|2013-12-06',0.026560000000000004,0.014826,0.002454,0.022845000000000004,'A/H3N2|A/SouthAustralia/55/2014|Australia|2014-06-29',0.002454,A/SouthAustralia/55/2014
'H3N2|A/Sydney/1029/2015|70694|70694-HA|H3|NSW/Bronte|2015-08-04',0.012960000000000003,0.007390000000000001,0.019760000000000003,0.027795000000000007,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.007390000000000001,A/HongKong/4801/2014
'H3N2|A/Sydney/29/2015|70592|70592-HA|H3|NSW/BossleyPark|2015-04-09',0.013581000000000003,0.008011,0.020381000000000003,0.028416000000000004,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.008011,A/HongKong/4801/2014
'H3N2|A/SouthAustralia/166/2015|70787|70787-HA|H3|SA/VictorHarbour|2015-09-17',0.014819,0.006777000000000001,0.019147000000000004,0.027182000000000005,'A/H3N2|A/HongKong/4801/2014|HongKong|2014',0.006777000000000001,A/HongKong/4801/2014
'H3N2|A/Canberra/1001/2012|70417|70417-HA|H3|ACT/Canberra|2012-07-16',0.046495,0.034761,0.034745000000000005,0.021802,'A/H3N2|A/SouthAustralia/30/2012|Australia|2012-05-10',0.021802,A/SouthAustralia/30/2012
